Population Share,Free Market,Welfare Society,Egalitarian Utopia
0.108,0.002059236641860396,0.01968050484139195,0.052254813413715746
0.109,0.002078371783351987,0.019908584134529318,0.052831301670389165
0.11,0.002097507629352843,0.0201404868628222,0.053409209619180886
0.111,0.002116645205577886,0.020372435413278562,0.053987155993825475
0.112,0.0021357843032208494,0.020606053607661858,0.05456742759439578
0.113,0.002154923705220982,0.020840254103804776,0.05514832220750072
0.114,0.002174065461100189,0.021074911723314403,0.05572954533685837
0.115,0.002193207711528905,0.021311411028893338,0.056310861902897344
0.116,0.002212350609756496,0.021549954076162996,0.05689526161970125
0.117,0.0022314939498449464,0.02178920152864935,0.05748074589192889
0.118,0.002250638765061188,0.02202851048064733,0.0580676626889093
0.119,0.0022697860769270305,0.022268674714977156,0.058658121202574215
0.12,0.0022889341018068996,0.022509296113366037,0.05924959532311501
0.121,0.0023080837658167558,0.02275111202121821,0.05984172997654969
0.122,0.0023272343711919535,0.022993290839899948,0.06043390102953922
0.123,0.0023463855540569937,0.023236241945369294,0.061026561708045636
0.124,0.0023655392931909375,0.02348122053090227,0.06162091467135863
0.125,0.002384696347386078,0.023729320195766998,0.06221542945236663
0.126,0.002403855250982254,0.02397915647776245,0.06281055390781592
0.127,0.002423015102481323,0.024229528171925422,0.06340585473486861
0.128,0.0024421762007424287,0.02448004188206002,0.06400168508823313
0.129,0.0024613375217532357,0.024731197732052488,0.06459990502646366
0.13,0.0024804989751164904,0.024982398421972474,0.06519851518083392
0.131,0.002499663393277601,0.02523389960593421,0.06579716540499991
0.132,0.002518827848469799,0.02548713698404261,0.06639734852677191
0.133,0.00253799245576803,0.02574111408937919,0.0669977332870939
0.134,0.0025571582454226188,0.025995573518815148,0.06760051857218152
0.135,0.00257632430384965,0.026250142519589126,0.06820367159275859
0.136,0.0025954907601325452,0.026504823230587164,0.06880791728089414
0.137,0.0026146610757258404,0.026760113912590196,0.06941571915211288
0.138,0.00263383860394835,0.027015737244159132,0.07002584004516635
0.139,0.0026530185357801325,0.02727182349623355,0.07063711591698331
0.14,0.00267220154006771,0.027529403750329882,0.07124974014354286
0.141,0.002691387021631037,0.027786989913461395,0.07186251796236345
0.142,0.002710572726009215,0.028045052534035678,0.0724765982678763
0.143,0.002729758432276306,0.028303205758985463,0.07309199846813903
0.144,0.0027489452188059135,0.028561387915339985,0.07371021704363435
0.145,0.0027681325993851816,0.028819664377388726,0.07433092595657215
0.146,0.002787320367460424,0.029078069502984753,0.07495174254389647
0.147,0.002806508332881763,0.029337582365664635,0.07557553780463333
0.148,0.002825696532287989,0.02959922719363205,0.07619978238019921
0.149,0.0028448860151366953,0.029861919332214295,0.07682573658076826
0.15,0.0028640789764274015,0.030125139895469468,0.07745236186331655
0.151,0.0028832738894929042,0.030389302205074825,0.07807955408886802
0.152,0.0029024727827498377,0.030653852578130636,0.07870699165032694
0.153,0.0029216732215064526,0.03091904366666708,0.07933478157956009
0.154,0.002940873939469321,0.03118428352398303,0.07996572546180708
0.155,0.002960077681311918,0.031449715882919276,0.08059888135150726
0.156,0.0029792820973571312,0.031716443391093786,0.08123264202734128
0.157,0.0029984868798316865,0.03198578673620327,0.0818672553510508
0.158,0.0030176917689381977,0.032255161910129934,0.0825019808245976
0.159,0.0030368972002328505,0.03252495700177708,0.08313689517350038
0.16,0.003056105033478718,0.03279651265118928,0.08377658756143909
0.161,0.0030753145885419175,0.03306925858644489,0.08441705618211572
0.162,0.0030945280290296524,0.03334320551245167,0.08505820937933718
0.163,0.003113743971697929,0.03361765430506402,0.0857006441980657
0.164,0.0031329611324604416,0.033894273573796235,0.08634559730025869
0.165,0.0031521787432842374,0.03417089581557246,0.08699141000549292
0.166,0.0031713978817473325,0.03444870705270418,0.08764178165186258
0.167,0.0031906176850959814,0.03472823789108377,0.08829404734337833
0.168,0.0032098376263046146,0.03500881115544418,0.08894668095337517
0.169,0.0032290581418983277,0.035290080040970215,0.0895999935421474
0.17,0.0032482797874811733,0.03557228627705657,0.09025370660135892
0.171,0.0032675046878096877,0.03585457770735115,0.0909152315093894
0.172,0.003286730650575666,0.03613740823791029,0.09157812032477326
0.173,0.0033059569107983322,0.036421759310621644,0.09224135162518289
